Case No,Division,Water District,Waterbody Name,Waterbody Type,Appropriation Type,Appropriation Date,Prior Adjudication Date,WDID,Upper Terminus,UT UTM East,UT UTM North,Lower Terminus,LT UTM East,LT UTM North,Lake UTM North,Lake UTM East,Location,Length,Flow Amounts,Volume in AF,County,Watershed
84CW0649,1,7,Clear Creek,Stream,New Appropriation,07/13/1984,,0702109,headwaters in vicinity of,420807.25,4392082.39,confl South Clear Creek at,440263.58,4395736.42,,,"(39.709444, -105.696389)",13.5,10 (1/1 - 12/31),,Clear Creek,Clear
80CW0114,4,28,Agate Creek,Stream,New Appropriation,03/17/1980,,2801102,headwaters in vicinity of,389226.16,4254791.75,confl Tomichi Creek in,376836.18,4253635.02,,,"(38.422486, -106.410919)",9.3,1 (1/1 - 12/31),,"Gunnison, Saguache",Tomichi
W-1069-76,6,47,GEM LAKE,Lake,New Appropriation,03/17/1976,,4704344,na,,,na,,,4526941.57,353907.52,"(40.880556, -106.733333)",,,105,Jackson,Upper North Platte
76W2943,5,38,Snowmass Creek,Stream,New Appropriation,01/14/1976,,3802025,outlet Snowmass Lake in,324473.47,4331751.00,confl W Snowmass Creek  in,325854.53,4339788.98,,,"(39.189914, -107.016425)",4.3,"9 (4/1 - 10/15), 4 (10/16 - 3/31)",,Pitkin,Roaring Fork
78W1816,7,78,First Fork Piedra River,Stream,New Appropriation,03/16/1978,,7801904,confl Coldwater Creek at,291881.38,4138577.51,confl Piedra River at,294113.58,4136611.94,,,"(37.353611, -107.324167)",2,7 (1/1 - 12/31),,Archuleta,Piedra
98CW0224,4,59,Texas Creek,Stream,New Appropriation,01/29/1998,,5901818,outlet Lake Rebecca at,384292.73,4306949.88,confl South Texas Creek at,379900.70,4303511.84,,,"(38.882778, -106.390278)",4.4,"2 (4/1 - 10/31), 1 (11/1 - 3/31)",,Gunnison,East-Taylor
15CW3089,4,40,Hubbard Creek,Stream,New Appropriation,01/26/2015,,4004046,US Forest Service Boundary at,280842.01,4314986.51,Deertrail Ditch hdgt at,281723.13,4312487.26,,,"(38.934167, -107.518333)",1.88,"8.3 (4/1 - 6/10), 2.6 (6/11 - 8/15), 1.8 (8/16 - 3/31)",,Delta,North Fork Gunnison
84CW0149,3,20,Elk Creek,Stream,New Appropriation,08/16/1982,,2001751,headwaters in vicinity of,343371.77,4171394.59,confl Rio Grande River at,352204.72,4172761.58,,,"(37.69, -106.675833)",7.3,1 (1/1 - 12/31),,"Mineral, Rio Grande",Rio Grande Headwaters
W-3352-77,4,59,JENKINS LAKE,Lake,New Appropriation,03/09/1977,,5903745,na,,,na,,,4315442.61,366063.94,"(38.977778, -106.548611)",,,35,Gunnison,East-Taylor
84CW0425,4,68,Beaver Creek,Stream,New Appropriation,05/04/1984,,6801084,headwaters in vicinity of,258744.93,4211369.48,confl EF Dallas Creek in,252976.05,4222633.53,,,"(38.117772, -107.817808)",8.7,1.5 (1/1 - 12/31),,Ouray,Uncompahgre
84CW0274,7,30,West Lime Creek,Stream,New Appropriation,07/13/1984,,3001912,headwaters in vicinity of,254259.44,4181294.22,confl E Lime Creek at,257842.45,4178889.22,,,"(37.725278, -107.746944)",4.5,"4 (5/1 - 8/31), 2.5 (9/1 - 4/30)",,San Juan,Animas
87CW0267,1,3,Beaver Creek,Stream,New Appropriation,12/11/1987,,0302137,outlet Comanche Res in,445450.29,4492867.52,confl SF Cache la Poudre R in,452387.40,4492321.46,,,"(40.580311, -105.562575)",5.7,"4 (11/1 - 3/31), 8 (4/1 - 10/31)",,Larimer,Cache La Poudre
90CW0285,5,51,Meadow Creek,Stream,New Appropriation,11/27/1990,,5102105,headwaters at Columbine Lake at,440365.72,4430008.99,confl Meadow Creek Res in,436583.25,4433762.06,,,"(40.051714, -105.743492)",3.5,"0.5 (10/1 - 4/30), 2.5 (5/1 - 9/30)",,Grand,Colorado Headwaters
80CW0113,4,28,Porphyry Creek,Stream,New Appropriation,03/17/1980,,2801048,headwaters in vicinity of,382494.98,4260958.11,confl Tomichi Creek at,376928.98,4259012.10,,,"(38.47, -106.409722)",4.1,1 (1/1 - 12/31),,Gunnison,Tomichi
13CW3013,3,21,Alamosa River,Stream,Acquisition,04/15/1870,07/11/1868 12:00:00 AM,2102000,Gabino Gallegos hdgt at,398296.78,4128689.16,County Road 10 at,405146.93,4127806.64,,,"(37.291944, -106.070278)",5.36,2.5 (07/01 - 12/31),,Conejos,Alamosa-Trinchera
76W8221,1,23,Jefferson Creek,Stream,New Appropriation,01/14/1976,,2302126,headwaters in vicinity of,424994.23,4371193.24,confl Jefferson Creek at,425936.86,4365727.93,,,"(39.438056, -105.859722)",6.1,3 (1/1 - 12/31),,Park,South Platte Headwaters
76W1492,7,33,Tirbircio Creek,Stream,New Appropriation,07/30/1976,,3301901,headwaters in,231649.63,4142376.34,confl La Plata River in,229679.59,4144425.78,,,"(37.407206, -108.054108)",1,2 (1/1 - 12/31),,La Plata,Middle San Juan
04CW0079,2,11,Birdseye Gulch,Stream,New Appropriation,01/28/2004,,1103091,headwaters in vicinity of,396567.86,4347998.87,confl East Fork Arkansas River at,394134.61,4351986.24,,,"(39.310833, -106.2275)",3.4,"0.8 (1/1 - 4/30), 1.6 (5/1 - 10/14), 0.9 (10/15 - 12/31)",,Lake,Arkansas Headwaters
10CW0184,5,38,Roaring Fork River,Stream,Acquisition,06/30/1904,10/16/1933 12:00:00 AM,3802052,confl Maroon Creek at,340301.64,4342218.96,confl Owl Creek at,338571.67,4344598.95,,,"(39.235556, -106.870278)",2.02,3.54 (5/1 - 10/31),,Pitkin,Roaring Fork
04CW0081,2,12,Currant Creek,Stream,New Appropriation,01/28/2004,,1203021,confl Thirtyone Mile Creek at,453221.59,4287546.38,confl Mill Gulch at,456965.45,4279602.03,,,"(38.663889, -105.494722)",6.9,"1.9 (4/1 - 7/14), 1.5 (7/15 - 10/31), 1 (11/1 - 3/31)",,"Fremont, Park",Arkansas Headwaters
W-3357-77,4,62,HAMPTON LAKE,Lake,New Appropriation,05/12/1976,,6203571,na,,,na,,,4237905.66,274868.08,,,,30,Gunnison,Upper Gunnison
82CW0222,3,26,South Fork Saguache Creek,Stream,New Appropriation,10/07/1982,,2600804,headwaters in vicinity of,344812.14,4195676.77,confl Wannamaker Creek at,351431.18,4200283.07,,,"(37.938056, -106.69)",5.7,4 (1/1 - 12/31),,Saguache,Saguache
77W1334,6,58,Big Creek,Stream,New Appropriation,09/23/1977,,5802206,confl NF Big Creek in,348898.14,4505837.46,confl Elk River in,339190.96,4494484.43,,,"(40.585533, -106.900172)",11,15 (1/1 - 12/31),,Routt,Upper Yampa
80CW0121,4,62,Larson Creek,Stream,New Appropriation,03/17/1980,,6201444,headwaters in vicinity of,291862.46,4217040.70,confl Lake Fork Gunnison R at,298363.59,4216330.25,,,"(38.072222, -107.298333)",5,2 (1/1 - 12/31),,Hinsdale,Upper Gunnison
W-1084-76,6,47,CLIFF LAKE,Lake,New Appropriation,05/12/1976,,4704343,na,,,na,,,4474289.08,385766.58,"(40.410556, -106.345833)",,,11,Jackson,North Platte Headwaters
W-3005-76,5,37,MISSOURI LAKE #3,Lake,New Appropriation,01/14/1976,,3703567,na,,,na,,,4361792.68,369828.98,"(39.395833, -106.511111)",,,169,Eagle,Eagle
85CW0259,5,43,East Douglas Creek,Stream,New Appropriation,05/03/1985,,4301326,headwaters in,185307.83,4394631.39,confl Brush Creek at,181933.58,4395976.77,,,"(39.654444, -108.706667)",3.6,1 (1/1 - 12/31),,"Garfield, Rio Blanco",Lower White
84CW0374,4,28,Hot Springs Creek,Stream,New Appropriation,05/04/1984,,2801077,headwaters in vicinity of,369264.67,4271203.25,confl Tomichi Creek in,358384.19,4257266.90,,,"(38.452469, -106.622958)",14.3,1.5 (1/1 - 12/31),,Gunnison,Tomichi
87CW0293,1,5,Horse Creek,Stream,New Appropriation,12/11/1987,,0502123,National Park boundary in,453900.94,4454146.86,confl North St Vrain Creek in,456273.23,4451899.19,,,"(40.216369, -105.513889)",2.1,0.75 (1/1 - 12/31),,Boulder,St. Vrain
82CW0207,3,26,Tuttle Creek,Stream,New Appropriation,10/07/1982,,2600806,headwaters in vicinty of,394707.22,4235204.45,confl Ford Creek at,390535.93,4230738.92,,,"(38.218056, -106.25)",4.4,1 (1/1 - 12/31),,Saguache,Saguache
78W1815,7,78,Piedra River,Stream,New Appropriation,03/16/1978,,7801903,confl First Fork Piedra River at,294113.58,4136611.94,US Highway 160 bridge in,292210.30,4122331.90,,,"(37.224361, -107.342067)",10,"70 (3/1 - 8/31), 40 (9/1 - 2/29)",,Archuleta,Piedra
W-3347-77,4,59,"GOLDEN LAKE, SOUTH",Lake,New Appropriation,03/09/1977,,5903741,na,,,na,,,4294379.55,310361.03,"(38.777778, -107.1825)",,,74,Gunnison,Upper Gunnison
W-3187-76,5,51,STONE LAKE,Lake,New Appropriation,03/17/1976,,5102048,na,,,na,,,4444824.61,441674.79,"(40.151389, -105.683333)",,,24,Grand,Colorado Headwaters
79CW0171,5,51,Middle Fork Williams Fork,Stream,New Appropriation,05/18/1979,,5102030,a point located at,413997.78,4403391.63,confl Williams Fork River at,413832.23,4403891.64,,,"(39.780556, -106.005)",0.5,"1 (10/1 - 4/30), 2 (5/1 - 9/30)",,Grand,Colorado Headwaters
79CW0104,6,58,Fish Creek,Stream,New Appropriation,03/14/1979,,5801348,hdgt Mt Werner Pipeline in,348975.29,4482163.79,confl Yampa River in,344888.82,4481181.45,,,"(40.466836, -106.829617)",4.8,2 (1/1 - 12/31),,Routt,Upper Yampa
02CW0278,4,63,South Fork Mesa Creek,Stream,New Appropriation,01/23/2002,,6300692,confl unnamed tributary at,181989.26,4269704.42,confl East Mesa Creek,169089.85,4262415.42,,,"(38.448611, -108.790833)",10.4,"1.25 (3/1 - 3/31), 2 (4/1 - 5/31), 0.3 (6/1 - 2/29)",,"Mesa, Montrose",Lower Dolores
81CW0295,6,47,Arapaho Creek,Stream,New Appropriation,12/03/1981,,4702075,confl MF & SF Arapaho Creek at,382068.89,4474770.33,hdgt Eureka Ditch at,380490.06,4477109.76,,,"(40.436111, -106.408056)",2,8 (1/1 - 12/31),,Jackson,North Platte Headwaters
W-3325-77,4,28,LAKE FORK COCHETOPA LAKE,Lake,New Appropriation,03/09/1977,,2803639,na,,,na,,,4203351.79,340105.40,,,,30,Saguache,Tomichi
95CW0259,1,6,South Boulder Creek,Stream,New Appropriation,07/24/1995,,0602127,outlet Rogers Pass Lake at,441094.26,4413706.68,confl East Portal Moffat Tunnel at,444877.94,4417060.90,,,"(39.901667, -105.644167)",3.6,"1.25 (10/16 - 4/30), 3.5 (5/1 - 10/15)",,Gilpin,St. Vrain
80CW0542,5,38,MEXICAN CUT POND # 8,Lake,New Appropriation,03/17/1980,,3803767,na,,,na,,,4322071.37,321274.05,"(39.029444, -107.064167)",,,1.35,Gunnison,Roaring Fork
W-4449-76,2,13,"COLONY LAKE, NORTH #1",Lake,New Appropriation,01/14/1976,,1303505,na,,,na,,,4203532.91,449380.31,"(37.979167, -105.575)",,,57,Custer,Arkansas Headwaters
07CW0089,7,31,Los Pinos River,Stream,Acquisition,07/26/2006,,,outlet Vallecito Reservoir at,271975.97,4140586.52,confl  Dry Creek at,267283.76,4113495.15,,,"(37.138889, -107.62)",23.4,50 (10/1 - 5/9),,La Plata,Upper San Juan
80CW0133,5,37,Stone Creek,Stream,New Appropriation,03/17/1980,,3702005,headwaters in,371283.73,4380810.33,Forest Service boundary in,371860.93,4385481.85,,,"(39.609503, -106.492664)",2.9,1 (1/1 - 12/31),,Eagle,Eagle
98CW0149,2,13,Texas Creek,Stream,New Appropriation,01/29/1998,,1303025,confl Lake Creek at,447207.76,4239698.60,confl Arkansas River at,449058.23,4251515.59,,,"(38.410278, -105.582778)",8.7,"3.5 (11/1 - 4/30), 7.75 (5/1 - 10/31)",,Fremont,Arkansas Headwaters
W-1514-76,7,31,ROCK LAKE,Lake,New Appropriation,05/12/1976,,3103907,na,,,na,,,4166166.98,281503.83,"(37.616667, -107.475)",,,2772,Hinsdale,Upper San Juan
W-4337-75,2,11,BEAR LAKE,Lake,New Appropriation,09/10/1975,,1103986,na,,,na,,,4350620.48,377968.23,"(39.295833, -106.4125)",,,923,Lake,Arkansas Headwaters
78W3776,5,51,Bronco Creek,Stream,New Appropriation,05/12/1978,,5102010,headwaters in vicinity of,412543.41,4460063.46,confl Willow Creek in,409270.39,4461790.47,,,"(40.301697, -106.067611)",3,0.5 (1/1 - 12/31),,Grand,Colorado Headwaters
82CW0143,2,11,Tennessee Creek,Stream,New Appropriation,06/03/1982,,1103011,conf W Tennessee Creek in,385868.11,4355971.94,confl Longs Gulch at,384474.79,4352801.14,,,"(39.316944, -106.339722)",2.4,5 (1/1 - 12/31),,Lake,Arkansas Headwaters
79CW0018,6,47,"ROXY ANNE LAKE, UPPER",Lake,New Appropriation,09/19/1978,,4703513,na,,,na,,,4504422.50,359740.81,"(40.678333, -106.658333)",,,10,Jackson,North Platte Headwaters
98CW0229,4,59,North Texas Creek,Stream,New Appropriation,05/11/1998,,5901840,outlet Pear Lake at,379704.73,4308105.88,confl Texas Creek at,378479.71,4304090.83,,,"(38.878333, -106.398333)",2.8,"1.5 (8/1 - 9/30), 0.5 (12/15 - 4/30), 2.75 (5/1 - 7/31), 0.75 (10/1 - 12/14)",,Gunnison,East-Taylor
84CW0651,1,7,West Fork Clear Creek,Stream,New Appropriation,07/13/1984,,0702105,headwaters in vicinity of,424973.50,4405056.61,confl Woods Creek at,430102.48,4402397.55,,,"(39.768611, -105.806667)",4.3,7 (1/1 - 12/31),,Clear Creek,Clear
84CW0291,7,71,Roaring Forks Creek,Stream,New Appropriation,07/13/1984,,7101914,headwaters in vicinity of,231841.66,4160682.29,confl Dolores River at,225177.08,4165934.39,,,"(37.599167, -108.112222)",5.5,2 (1/1 - 12/31),,Montezuma,Upper Dolores
W-4638-77,2,79,"LILLY LAKE, UPPER",Lake,New Appropriation,01/19/1977,,7903507,na,,,na,,,4161271.05,456269.84,"(37.930833, -105.495)",,,40,Huerfano,Huerfano
77W1310,6,58,Hogan Creek,Stream,New Appropriation,09/23/1977,,5802253,headwaters in vicinity of,354119.85,4478799.53,confl Fishhook Creek at,354632.88,4475419.54,,,"(40.416667, -106.7125)",1.5,1 (1/1 - 12/31),,Routt,Upper Yampa
W-4308-75,2,12,"STOUT CREEK LAKE, LOWER",Lake,New Appropriation,07/09/1975,,1203302,na,,,na,,,4245391.28,422277.13,,,,1033,Fremont,Arkansas Headwaters
W-1079-76,6,58,PORCUPINE LAKE,Lake,New Appropriation,03/17/1976,,5804373,na,,,na,,,4497846.48,354663.98,"(40.618611, -106.716667)",,,36,Routt,Upper Yampa
17CW3031,6,44,Elkhead Creek,Stream,New Appropriation,01/24/2017,,,confl NF Elkhead Creek at,306665.08,4504451.45,USGS Gage # 09246200 at,303600.63,4496025.75,,,"(40.591731, -107.320903)",15.83,"6.4 (10/01 - 02/29), 10 (03/01 - 03/15), 24 (03/16 - 06/30), 10 (07/01 - 07/15), 2.5 (07/16 - 09/30)",,Routt,Upper Yampa
04CW0024,6,58,Hot Spring Creek,Stream,Acquisition,07/31/1965,05/30/1972 12:00:00 AM,5802654,Forest Service boundary at,342413.24,4491736.73,confl Elk River at,340042.92,4491540.43,,,"(40.559167, -106.888889)",1.33,2 (1/1 - 12/31),,Routt,Upper Yampa
90CW0297,5,51,Crooked Creek,Stream,New Appropriation,11/27/1990,,5102074,headwaters in,417457.35,4421945.93,confl Tipperary Creek in,423576.45,4421687.92,,,"(39.941864, -105.894544)",4.7,"3 (4/15 - 8/14), 0.75 (8/15 - 4/14)",,Grand,Colorado Headwaters
18CW3043,4,28,Dutchman Creek,Stream,New Appropriation,01/22/2018,,2081259,headwaters in the vicinity of,369063.00,4242474.76,confl Owens Creek at,368109.13,4251307.88,,,"(38.400275, -106.510425)",6.78,"0.94 (04/01 - 08/31), 0.84 (09/01 - 03/31)",,Saguache,Tomichi
84CW0380,4,59,Red Creek,Stream,New Appropriation,05/04/1984,,5901514,headwaters in vicinity of,306600.33,4277199.88,confl Red Creek at,307592.84,4270658.46,,,"(38.563611, -107.207778)",4.9,1 (1/1 - 12/31),,Gunnison,Upper Gunnison
W-3380-76,4,62,SLOAN LAKE,Lake,New Appropriation,05/12/1976,,6207322,na,,,na,,,4198159.80,279050.90,"(37.904167, -107.5125)",,,92,Hinsdale,Upper Gunnison
11CW0152,5,51,Saint Louis Creek,Stream,Acquisition,,,,Confluence of East St. Louis Creek,,,Confluence of Fool Creek,,,,,,0.48,"10 (5/15 - 5/31), 11 (6/1 - 7/31), 10 (8/1 - 9/15), 3 (9/16 - 5/14)",,Grand,Colorado Headwaters
79CW0186,5,38,Hunter Creek,Stream,New Appropriation,01/31/1979,,3802004,hdgt Fry-Ark Project div at,355048.50,4341169.98,confl Midway Creek at,353714.77,4340284.98,,,"(39.199722, -106.693333)",1.9,3.5 (1/1 - 12/31),,Pitkin,Roaring Fork
STL3,5,51,Colorado River,Stream,Acquisition,,,,Outlet of Granby Reservoir,,,Confluence of Fraser River,,,,,,,"0.41 (04/01 - 04/30), 5.74 (05/01 - 05/31), 11.66 (06/01 - 06/30), 9.61 (07/01 - 07/31), 1.82 (08/01 - 08/31), 0.82 (09/01 - 09/30), 0.82 (10/01 - 10/31)",,"Grand, Mesa, Routt","Blue, Colorado Headwaters, Colorado Headwaters-Plateau, Lower Gunnison"
80CW0099,3,20,Lake Fork,Stream,New Appropriation,07/08/1980,,2001773,headwaters in vicinity of,338136.53,4161827.25,confl SF Rio Grande at,343799.91,4158747.64,,,"(37.5625, -106.767778)",6,"4 (10/1 - 4/30), 7 (5/1 - 9/30)",,Mineral,Rio Grande Headwaters
80CW0037,7,29,East Fork San Juan River,Stream,New Appropriation,01/30/1980,,2901904,confl Sand Creek at,336509.33,4139496.97,confl WF San Juan River at,331701.21,4137085.68,,,"(37.365278, -106.9)",3.5,"25 (4/1 - 8/31), 12 (9/1 - 3/31)",,Archuleta,Upper San Juan
05CW0245,4,40,Spring Creek,Stream,New Appropriation,05/25/2005,,4000776,headwaters in vicinity of,299543.44,4322864.90,spring outlet at,299516.96,4322877.51,,,"(39.031944, -107.315833)",0.02,9999 (1/1 - 12/31),,Gunnison,Upper Gunnison
73W1952,5,38,Ivanhoe Creek,Stream,New Appropriation,07/12/1973,,3802021,hdgt Fry-Ark Project div at,365511.57,4349750.00,confl Fryingpan River at,361659.85,4351017.06,,,"(39.2975, -106.603611)",2.8,"1 (10/1 - 3/31), 2 (4/1 - 9/30)",,Pitkin,Roaring Fork
W-3031-76,5,37,GORE LAKE #1,Lake,New Appropriation,01/14/1976,,3703551,na,,,na,,,4388683.63,396268.66,"(39.641667, -106.208333)",,,25,Eagle,Eagle
10CW0184,5,38,Maroon Creek,Stream,Acquisition,06/30/1904,10/16/1933 12:00:00 AM,3802051,hdgt Stapleton Bros Ditch at,339846.04,4339079.99,confl Roaring Fork River at,340301.64,4342218.96,,,"(39.214444, -106.849722)",2.16,3.83 (5/1 - 10/31),,Pitkin,Roaring Fork
86CW0211,5,36,Blue River,Stream,New Appropriation,03/14/1986,,3602034,confl Monte Cristo & Bemrose at,409333.86,4360235.05,Hwy 9 Bridge near Fredonia Gulch at,410017.61,4363380.20,,,"(39.415278, -106.044722)",2.2,"1 (10/1 - 4/30), 2 (5/1 - 9/30)",,Summit,Blue
00CW0075,6,58,Fish Creek,Stream,Acquisition,05/01/1991,,5803508,hdgt Fish Cr Filt Plant intake in,349824.79,4482725.46,confl Yampa River in,348975.29,4482163.79,,,"(40.476436, -106.781672)",4.8,2 (1/1 - 12/31),,Routt,Upper Yampa
84CW0164,3,20,Squaw Creek,Stream,New Appropriation,08/16/1982,,2001833,headwaters at natural lake at,302557.79,4164282.39,confl Rio Grande River at,301353.58,4177659.97,,,"(37.724722, -107.253611)",11.4,"5 (10/1 - 4/30), 8 (5/1 - 9/30)",,Hinsdale,Rio Grande Headwaters
84CW0406,4,40,Coal Creek,Stream,New Appropriation,05/04/1984,,4002353,confl Robinson Creek in,299130.20,4298730.06,confl Cliff Creek in,298809.27,4301961.06,,,"(38.843478, -107.318203)",2.1,9 (1/1 - 12/31),,Gunnison,North Fork Gunnison
77W3652A,5,43,Marvine Creek,Stream,New Appropriation,11/15/1977,,4302334,confl W Marvine Creek in,291464.01,4432955.16,confl N Fk White River at,287098.26,4435608.66,,,"(40.043333, -107.49)",4,40 (1/1 - 12/31),,Rio Blanco,Upper White
77W4675,2,11,Poncha Creek,Stream,New Appropriation,11/15/1977,,1103002,confl Silver Creek at,401489.58,4253276.03,confl S Arkansas River at,406224.39,4262964.89,,,"(38.510833, -106.075278)",7,8 (1/1 - 12/31),,Chaffee,Arkansas Headwaters
79CW0125,2,79,South Fork Huerfano River,Stream,New Appropriation,03/14/1979,,7903005,headwaters in vicinity of,464515.11,4163622.50,confl Cascade Creek at,463118.14,4167610.51,,,"(37.656389, -105.417778)",4,1 (1/1 - 12/31),,Huerfano,Huerfano
89CW0207,1,4,Elk Creek,Stream,New Appropriation,11/14/1989,,0402106,headwaters in,457262.42,4488335.39,confl Buckhorn Creek in,459992.52,4491146.41,,,"(40.570128, -105.472644)",3.6,"0.25 (11/1 - 4/30), 1 (5/1 - 8/31), 0.5 (9/1 - 10/31)",,Larimer,Big Thompson
80CW0076,2,10,North Beaver Creek,Stream,New Appropriation,05/07/1980,,1003003,headwaters in vicinity of,501611.31,4323127.17,confl S Beaver Creek in,508540.35,4323317.16,,,"(39.058897, -104.901289)",5,1.5 (1/1 - 12/31),,El Paso,Fountain
W-1074-76,6,47,WILLOW LAKE,Lake,New Appropriation,03/17/1976,,4704371,na,,,na,,,4475731.56,384399.61,"(40.425, -106.356944)",,,8,Jackson,North Platte Headwaters
W-8249-76,1,48,BLUE LAKE,Lake,New Appropriation,01/14/1976,,4802100,na,,,na,,,4496904.43,423473.99,"(40.619444, -105.904167)",,,465,Larimer,Cache La Poudre
92CW0049,6,47,East Branch Willow Creek,Stream,New Appropriation,05/08/1992,,4701168,headwaters in,403083.43,4465367.31,hdgt School Section Ditch at,404047.41,4472155.65,,,"(40.394444, -106.13)",5.2,"2.5 (4/1 - 9/30), 1 (10/1 - 3/31)",,Jackson,North Platte Headwaters
77W4660,2,11,North Fork South Arkansas River,Stream,New Appropriation,11/15/1977,,1103054,confl North Fork Res at,384981.26,4274371.28,confl McCoy Creek at,391026.36,4272297.57,,,"(38.593889, -106.249167)",5,8 (1/1 - 12/31),,Chaffee,Arkansas Headwaters
W-3639-76,3,20,"UTE LAKE, LOWER TWIN (#2)",Lake,New Appropriation,05/12/1976,,2003602,na,,,na,,,4168804.93,283241.48,"(37.640833, -107.456111)",,,65,Hinsdale,Rio Grande Headwaters
98CW0154,2,15,Greenhorn Creek,Stream,New Appropriation,05/11/1998,,1503003,headwaters in vicinity of,494574.98,4199218.34,hdgt Highline Ditch in,504676.67,4196949.47,,,"(37.920081, -104.946789)",6.8,"1.5 (3/15 - 4/30), 4.75 (5/1 - 7/14), 0.85 (11/15 - 3/14), 1.5 (7/15 - 11/14)",,Pueblo,"Huerfano, Upper Arkansas"
84CW0438,4,60,Leopard Creek,Stream,New Appropriation,07/13/1984,,6001389,confl WF & EF Leopard Creek in,244795.28,4218132.03,confl San Miguel River at,231193.62,4212435.73,,,"(38.02, -108.061111)",13.2,2.5 (1/1 - 12/31),,San Miguel,"San Miguel, Uncompahgre"
77W4658,2,11,South Fork Lake Creek,Stream,New Appropriation,01/19/1977,,1103050,headwaters in vicinity of,362035.81,4317510.82,confl NF Lake Creek at,370250.80,4325143.09,,,"(39.065833, -106.500833)",6,8 (1/1 - 12/31),,"Chaffee, Lake",Arkansas Headwaters
W-3302-77,4,40,PECKS #2 LAKE,Lake,New Appropriation,03/09/1977,,4003640,na,,,na,,,4327243.99,256160.90,"(39.060278, -107.8175)",,,35,Delta,Lower Gunnison
86CW0305,1,48,Boswell Creek,Stream,New Appropriation,09/05/1986,,4802107,headwaters in vicinity of,401321.26,4533037.67,confl unnamed tributary at,402439.40,4539087.71,,,"(40.997222, -106.159444)",4.5,1.5 (1/1 - 12/31),,Larimer,Upper Laramie
77W1283,6,58,Bear Canyon Creek,Stream,New Appropriation,09/23/1977,,5802200,headwaters in vicinity of,352865.20,4507531.49,confl SF Elk River in,350379.26,4512077.48,,,"(40.74605, -106.772219)",2.5,3 (1/1 - 12/31),,Routt,Upper Yampa
75W1346,7,71,Dolores River,Stream,New Appropriation,05/01/1975,,7100639,McPhee Res Dam in,184321.51,4164860.15,confl San Miguel River in,167728.07,4254788.25,,,"(38.379611, -108.803581)",105,78 (1/1 - 12/31),,"Dolores, Montezuma, Montrose, San Miguel","Lower Dolores, Upper Dolores"
W-3068-76,5,38,"PIERRE LAKE #2, LOWER",Lake,New Appropriation,01/14/1976,,3803859,na,,,na,,,4334878.02,321902.99,"(39.145833, -107.058333)",,,210,Pitkin,Roaring Fork
79CW0173,5,51,Williams Fork,Stream,New Appropriation,05/18/1979,,5102027,a point located at,412567.13,4404763.65,confl Darling Creek at,412014.20,4406040.68,,,"(39.799444, -106.025556)",1.2,"6 (10/1 - 4/30), 12 (5/1 - 9/30)",,Grand,Colorado Headwaters
10CW0133,4,28,Cochetopa Creek,Stream,New Appropriation,01/26/2010,,2801218,confl Nutras Creek at,341463.57,4213595.32,hdgt Mesa Ditch At,345707.16,4222336.89,,,"(38.135833, -106.760556)",7.54,"11.3 (5/16 - 8/15), 7.5 (8/16 - 9/30), 4.5 (10/1 - 11/15), 2.75 (11/16 - 3/15), 5 (3/16 - 5/15)",,Saguache,Tomichi
80CW0372,5,43,Ripple Creek,Stream,New Appropriation,05/07/1980,,4302343,headwaters in vicinity of,306163.95,4439275.37,confl NF White River at,300814.97,4437555.31,,,"(40.064444, -107.335)",4.2,4 (1/1 - 12/31),,"Garfield, Rio Blanco",Upper White
77W1321,6,58,Wheeler Creek,Stream,New Appropriation,09/23/1977,,5802327,headwaters in vicinity of,346567.79,4445105.37,Forest Service boundary in,341119.47,4446372.94,,,"(40.152692, -106.865411)",2,1 (1/1 - 12/31),,Routt,Upper Yampa
84CW0167,3,20,Ute Creek,Stream,New Appropriation,08/16/1982,,2001845,confl M & W Ute Cks at,286606.98,4174920.51,confl Rio Grande Res at,293675.51,4180080.25,,,"(37.745, -107.341389)",5.8,"12 (10/1 - 4/30), 25 (5/1 - 9/30)",,Hinsdale,Rio Grande Headwaters
79CW0103,6,58,Burgess Creek,Stream,New Appropriation,03/14/1979,,5801474,Forest Service boundary in,348503.32,4481132.06,confl Yampa River in,346295.82,4479422.86,,,"(40.451264, -106.812603)",2,2 (1/1 - 12/31),,Routt,Upper Yampa
97CW0272,5,37,Antones Cabin Creek,Stream,New Appropriation,09/22/1997,,3702067,headwaters in vicinity of,346862.02,4366363.34,inlet unnamed lake,347217.90,4368235.98,,,"(39.45, -106.775278)",1.4,"2.5 (4/15 - 9/30), 0.5 (10/1 - 4/14)",,Eagle,Eagle
20CW3041,6,44,Bunker Creek,Stream,New Appropriation,01/27/2020,,,headwaters in the vicinity of,317262.91,4450351.49,Bunker Ditch hdgt at,314434.46,4450579.57,,,"(40.185094, -107.179733)",2.14,"0.4 (12/01 - 04/30), 1.75 (05/01 - 07/31), 0.8 (08/01 - 11/30)",,Rio Blanco,Upper Yampa
17CW3189,1,80,Square Top Lake (Upper),Lake,New Appropriation,01/24/2017,,8003551,na,,,na,,,4382782.46,436057.06,"(39.592386, -105.744686)",,,113.14,Clear Creek,Upper South Platte
